sales_key,date_key,store_key,product_key,category_key,supplier_key,promotion_key,channel_key,units_sold,unit_price,sales_amount,cost_amount,on_hand_qty
80,20251228,25,156,4,15,3,1,20,93.3,1642.08,1238.6,93
81,20260523,24,120,1,12,0,2,22,56.47,1242.34,859.54,58
82,20250825,13,148,2,15,2,3,15,74.54,950.39,799.2,99
83,20250328,10,170,1,12,0,3,12,109.41,1312.92,895.56,117
84,20260326,25,126,4,4,3,1,16,64.53,908.58,659.04,98
85,20251207,4,63,3,5,0,1,15,56.96,854.4,634.8,88
86,20260114,4,15,5,12,0,1,10,93.59,935.9,633.2,27
87,20250222,2,25,5,11,2,3,25,56.05,1191.06,1013.0,111
88,20250618,16,48,6,7,3,3,6,23.3,123.02,93.96,31
89,20260219,3,154,2,7,3,3,12,106.19,1121.37,894.24,16
90,20260326,18,19,6,7,0,1,6,55.18,331.08,230.7,46
91,20250824,6,26,4,5,0,2,16,69.61,1113.76,797.6,89
92,20260311,27,196,1,14,0,2,6,71.84,431.04,276.54,88
93,20260331,13,81,6,5,0,3,1,41.84,41.84,29.74,4
94,20250729,3,26,4,5,4,3,20,71.16,1138.56,997.0,36
95,20260430,21,175,5,14,2,3,32,66.31,1803.63,1447.36,139
96,20250605,11,194,3,9,0,1,19,24.35,462.65,318.06,101
97,20250510,8,101,5,6,0,2,26,66.72,1734.72,1323.92,75
98,20260104,20,23,2,11,0,3,9,60.24,542.16,377.19,89
99,20251210,29,126,4,4,0,2,9,58.5,526.5,370.71,54
100,20250317,30,173,5,7,4,2,27,72.15,1558.44,1324.35,72
101,20260326,14,194,3,9,0,1,38,24.61,935.18,636.12,358
102,20250418,26,115,4,4,0,2,8,103.17,825.36,548.4,21
103,20260311,7,189,2,14,0,3,20,17.17,343.4,259.4,118
104,20250104,26,167,2,8,0,2,17,92.39,1570.63,1105.0,93
105,20260307,29,33,1,1,0,3,10,41.37,413.7,279.4,18
106,20260301,16,127,1,4,0,2,4,102.41,409.64,273.68,27
107,20260226,16,134,4,13,0,3,1,51.12,51.12,34.63,1
108,20251226,17,154,2,7,4,3,3,110.37,264.89,223.56,25
109,20250912,3,107,5,5,0,2,16,89.77,1436.32,996.48,44
110,20260116,26,147,1,15,3,3,12,71.79,758.1,557.28,30
111,20250530,23,117,1,11,0,1,14,128.43,1798.02,1118.32,118
112,20260226,27,53,3,3,0,2,14,149.07,2086.98,1443.4,70
113,20251028,4,97,2,13,1,1,11,111.94,1108.21,818.73,60
114,20250905,25,188,3,13,0,3,12,29.3,351.6,239.64,31
115,20251001,11,169,3,1,0,1,15,65.77,986.55,637.5,93
116,20251104,25,129,4,3,0,2,33,112.89,3725.37,2686.53,55
117,20250121,30,65,3,15,0,3,8,57.11,456.88,321.92,60
118,20250317,27,41,1,3,3,3,1,6.51,5.73,5.0,6
119,20250513,28,58,1,2,0,2,12,41.58,498.96,303.12,62
120,20250303,4,62,5,3,0,1,12,55.01,660.12,449.76,89
121,20250826,10,193,4,6,2,2,4,66.98,227.73,202.12,63
122,20251227,9,107,5,5,0,2,6,90.99,545.94,373.68,61
123,20251220,16,79,4,1,0,3,9,108.14,973.26,688.23,58
124,20250912,30,177,5,12,0,2,3,89.28,267.84,186.42,17
125,20260407,21,74,1,15,3,3,8,66.95,471.33,360.0,30
126,20251102,17,160,5,12,4,2,8,73.67,471.49,397.28,95
127,20250212,25,129,4,3,4,2,9,121.76,876.67,732.69,131
128,20260218,6,61,6,12,0,1,9,80.74,726.66,483.3,94
129,20251107,20,193,4,6,0,1,10,70.23,702.3,505.3,35
130,20251209,16,138,1,5,3,2,8,34.73,244.5,197.84,25
131,20251102,7,198,1,3,3,3,32,73.45,2068.35,1734.08,104
132,20251026,20,1,1,6,0,3,23,81.33,1870.59,1331.01,156
133,20250218,26,57,4,11,0,1,4,120.91,483.64,318.28,47
134,20251029,25,67,6,7,0,1,20,75.73,1514.6,992.8,117
135,20260306,26,135,5,7,0,1,4,106.89,427.56,300.88,7
136,20250614,25,168,2,5,0,2,4,35.61,142.44,95.32,39
137,20251122,15,25,5,11,3,2,24,59.01,1246.29,972.48,91
138,20250117,2,31,3,7,3,1,22,132.43,2563.84,2097.7,0
139,20250707,29,135,5,7,0,1,4,100.63,402.52,300.88,10
140,20250824,14,71,5,5,0,2,24,76.21,1829.04,1154.64,121
141,20260615,19,140,3,15,0,1,9,30.59,275.31,186.03,82
142,20250426,1,1,1,6,0,1,39,83.29,3248.31,2256.93,204
143,20250530,27,105,5,9,0,2,1,115.75,115.75,79.55,7
144,20250809,27,5,3,7,0,3,6,79.43,476.58,310.5,31
145,20260621,28,191,5,12,3,3,4,78.43,276.07,215.16,17
146,20260406,6,30,3,3,3,1,16,69.44,977.72,792.96,121
147,20250119,26,36,1,11,4,3,17,46.94,638.38,564.23,79
148,20250507,19,21,4,2,2,3,25,80.04,1700.85,1394.0,128
149,20260320,5,45,1,10,2,1,2,38.77,65.91,54.92,13
150,20250201,18,98,5,7,2,1,16,7.17,97.51,80.0,98
151,20260408,15,124,3,14,1,1,5,33.04,148.68,107.15,44
152,20250601,19,181,6,1,0,3,14,61.0,854.0,572.6,81
153,20260511,3,176,3,2,0,1,15,98.11,1471.65,1073.7,127
154,20250608,17,17,4,2,0,1,14,70.6,988.4,638.54,97
155,20250823,21,86,5,15,1,3,36,14.0,453.6,363.96,162
156,20251224,22,174,5,6,0,1,11,89.92,989.12,680.79,102
157,20250310,24,34,4,12,0,2,16,53.69,859.04,628.0,78
158,20251028,19,134,4,13,3,3,2,47.72,83.99,69.26,11
159,20250930,22,86,5,15,0,3,18,13.48,242.64,181.98,77
160,20260228,3,34,4,12,0,1,36,52.18,1878.48,1413.0,171
161,20260622,24,13,5,12,4,1,14,39.58,443.3,384.16,30
162,20251225,12,58,1,2,0,2,13,37.64,489.32,328.38,131
163,20250809,17,1,1,6,0,1,41,82.77,3393.57,2372.67,25
164,20250808,17,39,2,5,1,3,22,42.63,844.07,669.24,144
165,20250814,30,110,5,2,4,3,6,34.63,166.22,143.64,41
166,20260316,10,158,4,14,0,2,26,89.08,2316.08,1593.28,91
167,20250623,12,102,2,13,0,2,23,53.56,1231.88,863.88,130
168,20250401,23,146,6,4,0,1,29,74.92,2172.68,1481.61,103
169,20250630,20,15,5,12,0,3,10,92.86,928.6,633.2,24
170,20250113,10,61,6,12,3,3,9,79.78,631.86,483.3,46
171,20250227,11,132,4,6,4,3,12,65.03,624.29,523.92,47
172,20250218,25,11,4,4,3,2,6,41.75,220.44,168.84,16
173,20260221,26,117,1,11,0,3,5,121.54,607.7,399.4,23
174,20260126,5,34,4,12,2,3,9,52.33,400.32,353.25,41
175,20260112,12,84,5,8,1,1,9,75.05,607.9,452.25,93
176,20250907,24,126,4,4,0,3,25,61.97,1549.25,1029.75,155
177,20260123,4,198,1,3,1,1,12,72.98,788.18,650.28,73
178,20250329,6,19,6,7,0,3,34,52.18,1774.12,1307.3,218
179,20260502,5,111,2,10,1,1,13,53.25,623.02,498.03,79
180,20250928,16,108,4,9,2,2,1,58.02,49.32,38.43,9
181,20260522,14,13,5,12,0,1,15,39.85,597.75,411.6,43
182,20250324,10,123,4,10,1,1,17,92.94,1421.98,1101.43,103
183,20250926,5,16,5,5,0,2,5,28.03,140.15,92.35,40
184,20260112,20,138,1,5,0,3,9,36.07,324.63,222.57,76
185,20250925,25,42,5,9,0,1,47,62.43,2934.21,1962.25,124
186,20250829,7,26,4,5,4,3,11,74.32,654.02,548.35,85
187,20250331,20,15,5,12,0,3,8,92.27,738.16,506.56,78
188,20250725,24,92,5,5,3,3,24,65.49,1383.15,1105.2,211
189,20250509,17,48,6,7,0,1,13,22.56,293.28,203.58,89
190,20250612,18,93,6,15,0,3,9,57.09,513.81,352.44,56
191,20260105,6,180,4,4,0,2,7,137.24,960.68,640.85,3
192,20251207,29,168,2,5,0,1,7,33.31,233.17,166.81,33
193,20251124,29,151,6,8,3,3,1,50.6,44.53,33.18,3
194,20250715,22,94,3,5,0,1,21,62.27,1307.67,901.53,176
195,20260603,28,23,2,11,1,2,8,57.58,414.58,335.28,49
196,20250217,19,82,3,8,2,1,17,32.29,466.59,386.75,114
197,20250704,20,5,3,7,0,2,3,73.75,221.25,155.25,19
198,20250305,25,25,5,11,0,2,25,57.17,1429.25,1013.0,140
199,20250703,2,61,6,12,0,3,12,82.68,992.16,644.4,50
200,20260604,7,139,3,4,2,2,22,64.15,1199.6,1004.52,127
201,20250717,7,158,4,14,3,2,28,90.68,2234.36,1715.84,241
202,20260506,19,124,3,14,0,1,7,33.26,232.82,150.01,18
203,20250925,8,52,2,8,0,1,7,122.92,860.44,572.18,46
204,20260113,12,144,3,8,2,2,28,84.58,2013.0,1601.04,99
205,20250905,15,200,6,5,1,1,5,67.25,302.62,238.8,48
206,20250524,23,132,4,6,0,2,30,65.35,1960.5,1309.8,112
207,20260217,16,153,6,5,0,1,9,20.06,180.54,120.33,46
208,20260608,1,176,3,2,0,2,17,106.37,1808.29,1216.86,121
209,20250523,21,144,3,8,2,1,22,84.68,1583.52,1257.96,91
210,20260225,13,176,3,2,1,1,14,106.45,1341.27,1002.12,109
211,20250522,4,60,5,9,0,2,12,85.34,1024.08,726.6,74
212,20260123,20,62,5,3,3,1,23,56.4,1141.54,862.04,63
213,20260303,9,35,6,8,3,3,7,21.69,133.61,110.11,23
214,20250831,14,37,6,10,0,2,25,78.19,1954.75,1282.75,90
215,20260202,30,111,2,10,0,3,11,54.35,597.85,421.41,52
216,20250528,8,186,3,2,0,1,17,97.08,1650.36,1210.23,106
217,20250212,27,45,1,10,2,1,3,41.26,105.21,82.38,5
218,20250222,14,143,2,10,0,2,11,105.28,1158.08,749.21,216
219,20250830,28,16,5,5,3,1,5,26.84,118.1,92.35,31
220,20260503,26,195,6,11,0,2,18,7.42,133.56,90.0,49
221,20250310,25,106,5,3,1,3,11,20.06,198.59,157.52,37
222,20250904,7,100,1,1,3,3,12,65.03,686.72,582.36,46
223,20260116,24,72,2,1,0,2,6,73.31,439.86,312.24,37
224,20250420,12,193,4,6,3,1,22,70.47,1364.3,1111.66,95
225,20260125,28,84,5,8,3,2,9,73.28,580.38,452.25,16
226,20250615,30,25,5,11,0,1,16,55.18,882.88,648.32,71
227,20260313,19,113,4,2,0,1,24,79.57,1909.68,1359.6,97
228,20251109,28,119,2,15,3,3,12,87.19,920.73,738.72,84
229,20251023,16,150,1,3,4,3,3,7.3,17.52,15.0,6
230,20250406,2,100,1,1,0,1,12,61.39,736.68,582.36,2
231,20250908,27,56,1,3,0,2,8,73.53,588.24,414.64,28
232,20260408,16,1,1,6,0,2,14,85.64,1198.96,810.18,125
233,20250111,2,198,1,3,0,2,16,72.74,1163.84,867.04,6
234,20260214,2,39,2,5,1,3,23,44.54,921.98,699.66,64
235,20250924,22,71,5,5,2,3,8,71.39,485.45,384.88,56
236,20260124,28,31,3,7,1,1,24,133.33,2879.93,2288.4,165
237,20251225,21,48,6,7,3,1,19,22.71,379.71,297.54,72
238,20250822,14,13,5,12,0,3,5,36.61,183.05,137.2,82
239,20250616,10,69,1,10,0,2,14,80.74,1130.36,762.02,97
240,20251205,13,190,2,3,0,2,14,39.68,555.52,407.68,37
241,20250317,10,45,1,10,2,3,1,38.88,33.05,27.46,19
242,20251112,9,194,3,9,1,3,12,24.11,260.39,200.88,46
243,20250221,4,127,1,4,3,2,8,102.28,720.05,547.36,38
244,20251217,18,179,6,6,0,3,7,80.02,560.14,392.56,66
245,20251206,7,125,6,15,3,2,25,87.99,1935.78,1516.25,87
246,20250215,5,198,1,3,0,3,7,76.71,536.97,379.33,51
247,20260214,9,111,2,10,0,2,7,57.98,405.86,268.17,40
248,20250813,24,167,2,8,3,1,17,98.9,1479.54,1105.0,135
249,20260301,18,8,5,15,0,1,4,89.98,359.92,231.52,34
250,20250123,15,187,1,2,2,2,3,17.78,45.34,38.85,84
251,20250407,18,4,3,11,0,3,24,59.89,1437.36,1001.52,77
252,20250924,17,40,4,10,0,2,5,47.51,237.55,159.6,39
253,20250412,15,148,2,15,0,3,22,72.29,1590.38,1172.16,96
254,20250628,26,52,2,8,4,2,5,130.56,522.24,408.7,19
255,20251223,22,9,2,4,0,3,17,7.91,134.47,85.0,84
256,20250320,6,173,5,7,0,3,24,72.78,1746.72,1177.2,124
257,20260101,25,103,5,1,4,3,19,14.03,213.26,187.53,75
258,20250225,6,96,2,8,0,2,25,67.18,1679.5,1201.25,102
259,20250405,3,64,6,14,0,2,41,26.45,1084.45,717.5,190
260,20251114,13,144,3,8,3,2,8,90.82,639.37,457.44,90
261,20260305,12,63,3,5,0,3,12,62.12,745.44,507.84,103
262,20250403,24,113,4,2,0,2,12,87.04,1044.48,679.8,142
263,20250611,21,27,3,13,3,1,8,70.59,496.95,388.24,23
264,20260515,2,62,5,3,0,1,14,53.46,748.44,524.72,108
265,20260619,15,6,6,4,0,1,5,100.53,502.65,365.75,33
266,20251110,24,57,4,11,0,2,17,113.94,1936.98,1352.69,119
267,20250830,22,77,2,8,0,3,6,65.96,395.76,258.3,18
268,20250707,16,150,1,3,2,1,2,7.36,12.51,10.0,20
269,20251127,19,165,3,2,4,3,42,56.17,1887.31,1761.9,37
270,20251116,17,107,5,5,0,2,11,99.9,1098.9,685.08,53
271,20250609,7,186,3,2,0,1,23,103.67,2384.41,1637.37,160
272,20250113,17,72,2,1,0,1,1,74.13,74.13,52.04,17
273,20250323,21,99,4,5,0,1,18,59.06,1063.08,724.68,163
274,20260602,2,124,3,14,3,3,4,32.43,114.15,85.72,48
275,20250814,21,36,1,11,2,1,32,44.88,1220.74,1062.08,109
276,20250918,8,84,5,8,0,1,10,78.55,785.5,502.5,26
277,20250910,1,180,4,4,0,2,6,142.72,856.32,549.3,56
278,20260227,23,96,2,8,0,2,15,68.72,1030.8,720.75,53
279,20250205,12,187,1,2,3,2,34,17.33,518.51,440.3,133
280,20250214,13,136,2,13,0,2,6,79.85,479.1,346.5,50
281,20250529,19,34,4,12,0,2,17,55.52,943.84,667.25,163
282,20250920,17,92,5,5,2,2,26,69.96,1546.12,1197.3,123
283,20251229,19,74,1,15,0,2,13,63.01,819.13,585.0,78
284,20250922,29,190,2,3,1,2,9,41.52,336.31,262.08,41
285,20250827,20,68,3,6,0,3,7,48.9,342.3,237.23,56
286,20260522,2,98,5,7,0,3,17,7.66,130.22,85.0,114
287,20250328,7,139,3,4,0,1,5,66.86,334.3,228.3,177
288,20251105,14,193,4,6,1,1,20,68.59,1234.62,1010.6,124
289,20251020,15,110,5,2,4,1,5,35.12,140.48,119.7,26
290,20250913,11,170,1,12,0,3,27,110.04,2971.08,2015.01,145
291,20260313,6,24,6,4,0,2,10,47.44,474.4,310.8,51
292,20250525,4,179,6,6,3,2,14,77.94,960.22,785.12,0
293,20260531,5,42,5,9,3,3,28,60.76,1497.13,1169.0,138
294,20250629,29,153,6,5,0,3,28,20.33,569.24,374.36,74
295,20251022,12,107,5,5,2,3,13,95.1,1050.86,809.64,71
296,20251009,29,121,3,5,0,3,11,62.87,691.57,509.63,48
297,20260404,11,19,6,7,2,3,22,49.58,927.15,845.9,117
298,20250826,10,107,5,5,2,2,10,90.16,766.36,622.8,46
299,20250603,15,18,1,2,0,3,4,50.15,200.6,141.28,74
300,20250112,29,111,2,10,0,1,9,52.53,472.77,344.79,14
301,20250716,17,82,3,8,0,3,11,34.19,376.09,250.25,134
302,20260323,2,41,1,3,0,2,1,6.3,6.3,5.0,5
303,20250106,9,99,4,5,0,1,15,57.14,857.1,603.9,38
304,20260429,30,43,5,2,3,2,25,37.96,835.12,593.75,255
305,20251021,5,17,4,2,0,3,8,67.49,539.92,364.88,75
306,20250317,26,7,1,12,0,1,6,69.96,419.76,280.86,28
307,20250613,28,69,1,10,2,1,14,82.21,978.3,762.02,20
308,20251027,7,150,1,3,0,2,2,7.79,15.58,10.0,30
309,20250620,17,116,4,10,0,3,33,74.85,2470.05,1774.74,135
310,20250228,18,25,5,11,0,3,15,57.74,866.1,607.8,24
311,20251226,24,89,5,9,4,3,21,32.36,543.65,478.59,103
312,20251230,24,117,1,11,4,3,13,128.74,1338.9,1038.44,87
313,20250306,2,47,3,12,0,3,10,13.84,138.4,98.5,12
314,20250601,10,28,5,9,0,1,18,33.33,599.94,419.58,56
315,20250512,29,50,5,1,2,2,9,27.5,210.38,173.25,47
316,20251223,11,14,5,7,2,3,15,53.52,682.38,574.8,79
317,20260130,8,49,5,12,0,3,12,137.39,1648.68,1050.96,60
318,20260128,19,107,5,5,0,2,10,96.19,961.9,622.8,10
319,20260522,6,161,6,13,0,2,12,63.39,760.68,596.28,73
320,20260220,5,175,5,14,0,1,9,70.8,637.2,407.07,48
321,20250623,24,135,5,7,0,3,11,106.1,1167.1,827.42,42
322,20250228,4,72,2,1,0,2,5,74.53,372.65,260.2,10
323,20251128,27,187,1,2,0,1,10,18.43,184.3,129.5,24
324,20260510,8,184,5,4,0,2,37,54.02,1998.74,1326.45,99
325,20260611,4,72,2,1,0,1,4,74.7,298.8,208.16,17
326,20250505,23,3,4,8,0,2,28,60.21,1685.88,1257.2,88
327,20250508,6,87,1,3,0,2,28,83.24,2330.72,1779.4,53
328,20250121,11,94,3,5,0,3,10,59.72,597.2,429.3,52
329,20250318,11,136,2,13,0,3,9,85.04,765.36,519.75,28
330,20251027,16,30,3,3,1,1,6,76.67,414.02,297.36,57
331,20251023,15,109,3,5,2,1,11,62.95,588.58,481.47,51
332,20250720,6,64,6,14,3,2,29,25.89,660.71,507.5,209
333,20250617,8,100,1,1,4,3,19,64.0,972.8,922.07,75
334,20260325,6,5,3,7,0,1,4,78.08,312.32,207.0,44
335,20250906,2,106,5,3,4,3,16,20.36,260.61,229.12,50
336,20260313,20,8,5,15,3,1,11,88.72,858.81,636.68,47
337,20260605,15,171,1,6,0,3,12,41.7,500.4,361.56,38
338,20250621,4,143,2,10,0,2,22,96.89,2131.58,1498.42,112
339,20250420,10,185,3,1,0,1,36,70.95,2554.2,1697.76,94
340,20260530,21,131,4,9,3,3,15,19.59,258.59,203.4,46
341,20251209,9,196,1,14,0,2,8,66.51,532.08,368.72,42
342,20250607,13,42,5,9,0,2,16,62.45,999.2,668.0,211
343,20251202,23,2,5,14,3,3,7,54.68,336.83,259.77,51
344,20251006,21,181,6,1,3,2,20,60.23,1060.05,818.0,99
345,20260504,22,132,4,6,1,2,15,62.63,845.51,654.9,51
346,20250519,12,138,1,5,0,2,29,37.17,1077.93,717.17,141
347,20260620,15,59,5,3,0,1,3,57.7,173.1,120.27,27
348,20260521,26,68,3,6,2,1,7,46.61,277.33,237.23,23
349,20250408,27,136,2,13,2,2,7,79.84,475.05,404.25,11
350,20250330,2,82,3,8,0,1,16,31.58,505.28,364.0,105
351,20251015,26,16,5,5,2,3,7,27.24,162.08,129.29,37
352,20250125,27,59,5,3,0,2,4,59.59,238.36,160.36,23
353,20250611,29,77,2,8,0,2,1,63.14,63.14,43.05,20
354,20250823,9,167,2,8,0,3,14,91.51,1281.14,910.0,130
355,20260608,16,69,1,10,4,2,5,79.46,317.84,272.15,73
356,20260620,2,99,4,5,0,3,11,57.38,631.18,442.86,84
357,20250323,4,120,1,12,0,3,11,57.96,637.56,429.77,76
358,20260427,17,28,5,9,0,1,15,34.44,516.6,349.65,58
359,20250219,7,117,1,11,4,1,7,126.55,708.68,559.16,52
360,20260209,7,41,1,3,4,2,2,6.05,9.68,10.0,10
361,20260402,9,176,3,2,2,1,10,101.43,862.16,715.8,30
362,20260427,14,60,5,9,0,2,25,84.33,2108.25,1513.75,111
363,20250501,5,61,6,12,1,3,7,77.74,489.76,375.9,17
364,20260428,25,81,6,5,2,3,2,45.09,76.65,59.48,8
365,20250304,21,73,3,3,0,3,24,62.65,1503.6,1105.44,75
366,20251008,24,119,2,15,0,1,12,82.74,992.88,738.72,96
367,20250911,28,145,6,14,0,3,12,7.78,93.36,60.0,38
368,20250620,19,193,4,6,0,1,25,66.14,1653.5,1263.25,104
369,20250112,11,178,1,12,0,2,14,86.28,1207.92,865.76,47
370,20260221,30,53,3,3,0,3,14,151.43,2120.02,1443.4,109
371,20250701,17,121,3,5,1,3,19,62.81,1074.05,880.27,71
372,20251224,14,66,2,9,2,1,19,61.02,985.47,753.73,86
373,20250810,13,162,4,14,3,2,10,69.99,615.91,504.1,86
374,20250721,2,5,3,7,0,3,3,76.24,228.72,155.25,25
375,20260424,29,199,3,5,0,2,10,87.3,873.0,590.4,70
376,20250221,25,75,5,7,0,2,24,42.57,1021.68,733.68,40
377,20260202,21,149,5,3,0,2,40,111.61,4464.4,3092.8,190
378,20260208,7,136,2,13,0,2,14,80.16,1122.24,808.5,60
379,20250725,28,74,1,15,3,2,5,67.51,297.04,225.0,30
380,20250522,6,193,4,6,0,1,18,73.75,1327.5,909.54,48
381,20250103,8,54,3,5,1,3,29,31.92,833.11,625.53,215
382,20260521,3,149,5,3,0,3,20,110.06,2201.2,1546.4,90
383,20260527,9,186,3,2,0,1,7,100.21,701.47,498.33,42
384,20250511,10,24,6,4,2,1,10,47.09,400.27,310.8,22
385,20250118,24,184,5,4,0,2,20,55.56,1111.2,717.0,98
386,20250308,10,179,6,6,0,2,12,79.2,950.4,672.96,40
387,20250206,29,76,3,8,2,3,10,75.85,644.72,513.3,71
388,20260325,10,168,2,5,0,1,12,34.11,409.32,285.96,24
389,20260427,16,2,5,14,1,3,5,51.81,233.14,185.55,28
390,20250324,18,38,5,7,2,1,6,95.74,488.27,414.72,30
391,20260208,25,151,6,8,4,1,1,48.53,38.82,33.18,7
392,20250407,23,187,1,2,2,3,15,18.1,230.78,194.25,116
393,20250718,27,26,4,5,0,2,8,69.8,558.4,398.8,55
394,20251120,29,143,2,10,1,1,8,108.48,781.06,544.88,27
395,20260124,4,21,4,2,1,3,18,82.15,1330.83,1003.68,175
396,20260418,3,157,1,3,0,2,39,47.73,1861.47,1309.62,287
397,20250125,14,180,4,4,2,1,9,130.71,999.93,823.95,55
398,20250417,5,92,5,5,0,3,13,66.5,864.5,598.65,67
399,20250601,15,21,4,2,1,1,24,80.06,1729.3,1338.24,104
400,20250617,18,41,1,3,0,2,1,6.56,6.56,5.0,4
401,20260623,9,102,2,13,0,1,10,55.93,559.3,375.6,61
